"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]"
1,"ACTIVO",,"Asset",,,"Yes",,
11,"DISPONIBLE",,"Asset",,,"Yes",,1
1105,"CAJA",,"Asset",,,"Yes",,11
110505,"CAJA GENERAL",,"Asset",,,"No",,1105
110510,"CAJAS MENORES",,"Asset",,,"Yes",,1105
11051005,"ADMINISTRACION",,"Asset",,,"No",,110510
11051010,"CAJA MENOR NN",,"Asset",,,"No",,110510
11051090,"DEFAULT CAJA MENOR",,"Asset",,,"No","CB_ASSET_ACCT",110510
11051091,"DEFAULT CAJA MENOR EN TRANSITO",,"Asset",,,"No","CB_CASHTRANSFER_ACCT",110510
110515,"MONEDA EXTRANJERA",,"Asset",,,"No",,1105
110520,"DEFAULT PAGOS NO ASIGNADOS A FACTURAS",,"Asset",,,"No","B_UNALLOCATEDCASH_ACCT",1105
1110,"BANCOS",,"Asset",,,"Yes",,11
111005,"MONEDA NACIONAL",,"Asset",,,"Yes",,1110
11100507,"BANCO NN",,"Asset",,,"Yes",,111005
1110050701,"CUENTA CORRIENTE YYY",,"Asset",,,"No",,11100507
11100590,"DEFAULT BANCOS",,"Asset",,,"No","B_ASSET_ACCT",111005
111010,"MONEDA EXTRANJERA",,"Asset",,,"No",,1110
1115,"REMESAS EN TRANSITO",,"Asset",,,"Yes",,11
111505,"MONEDA NACIONAL",,"Asset",,,"Yes",,1115
11150590,"DEFAULT REMESAS EN TRANSITO",,"Asset",,,"No","B_INTRANSIT_ACCT",111505
11150591,"DEFAULT PAGOS USUARIOS NO IDENTIFICADOS",,"Asset",,,"No","B_UNIDENTIFIED_ACCT",111505
111510,"MONEDA EXTRANJERA",,"Asset",,,"No",,1115
1120,"CUENTAS DE AHORRO",,"Asset",,,"Yes",,11
112005,"BANCOS",,"Asset",,,"Yes",,1120
11200507,"BANCO NN",,"Asset",,,"Yes",,112005
1120050701,"CUENTA AHORROS YYY",,"Asset",,,"No",,11200507
1120050709,"TARJETA DE CREDITO ZZZ",,"Asset",,,"No",,11200507
112010,"CORPORACIONES DE AHORRO Y VIVIENDA",,"Asset",,,"No",,1120
112015,"ORGANISMOS COOPERATIVOS FINANCIEROS",,"Asset",,,"No",,1120
1125,"FONDOS",,"Asset",,,"Yes",,11
112505,"ROTATORIOS MONEDA NACIONAL",,"Asset",,,"No",,1125
112510,"ROTATORIOS MONEDA EXTRANJERA",,"Asset",,,"No",,1125
112515,"ESPECIALES MONEDA NACIONAL",,"Asset",,,"No",,1125
112520,"ESPECIALES MONEDA EXTRANJERA",,"Asset",,,"No",,1125
